county_name,Year,Series,Permits
Clayton,2006,Single-family,2217.0
Clayton,2007,All,1254.0
Clayton,2007,Multi-family,16.0
Clayton,2007,Single-family,1238.0
Clayton,2008,All,403.0
Clayton,2008,Multi-family,0.0
Clayton,2008,Single-family,403.0
Clayton,2009,All,93.0
Clayton,2009,Multi-family,8.0
Clayton,2009,Single-family,85.0
Clayton,2010,All,143.0
Clayton,2010,Multi-family,0.0
Clayton,2010,Single-family,143.0
Clayton,2011,All,106.0
Clayton,2011,Multi-family,0.0
Clayton,2011,Single-family,106.0
Clayton,2012,All,93.0
Clayton,2012,Multi-family,0.0
Clayton,2012,Single-family,93.0
Clayton,2013,All,134.0
Clayton,2013,Multi-family,0.0
Clayton,2013,Single-family,134.0
Clayton,2014,All,340.0
Clayton,2014,Multi-family,12.0
Clayton,2014,Single-family,328.0
Clayton,2015,All,427.0
Clayton,2015,Multi-family,0.0
Clayton,2015,Single-family,427.0
Clayton,2016,All,560.0
Clayton,2016,Multi-family,0.0
Clayton,2016,Single-family,560.0
Clayton,2017,All,411.0
Clayton,2017,Multi-family,0.0
Clayton,2017,Single-family,411.0
Clayton,2018,All,720.0
Clayton,2018,Multi-family,0.0
Clayton,2018,Single-family,720.0
Clayton,2019,All,905.0
Clayton,2019,Multi-family,70.0
Clayton,2019,Single-family,835.0
Clayton,2020,All,954.0
Clayton,2020,Multi-family,0.0
Clayton,2020,Single-family,954.0
Clayton,2021,All,929.0
Clayton,2021,Multi-family,306.0
Clayton,2021,Single-family,623.0
Clayton,2022,All,368.0
Clayton,2022,Multi-family,2.0
Clayton,2022,Single-family,366.0
Clayton,2023,All,348.0
Clayton,2023,Multi-family,25.0
Clayton,2023,Single-family,323.0
Clayton,2024,All,865.0
Clayton,2024,Multi-family,460.0
Clayton,2024,Single-family,405.0
Clayton,2024,All,865.0
Clayton,2024,Multi-family,460.0
Clayton,2024,Single-family,405.0
Cobb,1980,All,5576.0
Cobb,1980,Multi-family,1814.0
Cobb,1980,Single-family,3762.0
Cobb,1981,All,4713.0
Cobb,1981,Multi-family,1830.0
Cobb,1981,Single-family,2883.0
Cobb,1982,All,6034.0
Cobb,1982,Multi-family,1219.0
Cobb,1982,Single-family,4815.0
Cobb,1983,All,12404.0
Cobb,1983,Multi-family,5351.0
Cobb,1983,Single-family,7053.0
Cobb,1984,All,11515.0
Cobb,1984,Multi-family,4014.0
Cobb,1984,Single-family,7501.0
Cobb,1985,All,10685.0
Cobb,1985,Multi-family,3443.0
Cobb,1985,Single-family,7242.0
Cobb,1986,All,10825.0
Cobb,1986,Multi-family,3410.0
Cobb,1986,Single-family,7415.0
Cobb,1987,All,9278.0
Cobb,1987,Multi-family,3401.0
Cobb,1987,Single-family,5877.0
Cobb,1988,All,5695.0
Cobb,1988,Multi-family,1276.0
Cobb,1988,Single-family,4419.0
Cobb,1989,All,4317.0
Cobb,1989,Multi-family,1287.0
Cobb,1989,Single-family,3030.0
Cobb,1990,All,2845.0
Cobb,1990,Multi-family,274.0
Cobb,1990,Single-family,2571.0
Cobb,1991,All,3148.0
Cobb,1991,Multi-family,100.0
Cobb,1991,Single-family,3048.0
Cobb,1992,All,3809.0
Cobb,1992,Multi-family,2.0
Cobb,1992,Single-family,3807.0
Cobb,1993,All,4966.0
Cobb,1993,Multi-family,480.0
Cobb,1993,Single-family,4486.0
Cobb,1994,All,5284.0
Cobb,1994,Multi-family,799.0
Cobb,1994,Single-family,4485.0
Cobb,1995,All,8251.0
Cobb,1995,Multi-family,3140.0
Cobb,1995,Single-family,5111.0
Cobb,1996,All,6268.0
Cobb,1996,Multi-family,1121.0
Cobb,1996,Single-family,5147.0
Cobb,1997,All,7081.0
Cobb,1997,Multi-family,1767.0
Cobb,1997,Single-family,5314.0
Cobb,1998,All,8374.0
Cobb,1998,Multi-family,1663.0
