City,Year,Series,Permits,provisional
Ball Ground,2011,Multi-family,0,False
Ball Ground,2011,Single-family,0,False
Ball Ground,2012,Multi-family,0,False
Ball Ground,2012,Single-family,0,False
Ball Ground,2013,Multi-family,0,False
Ball Ground,2013,Single-family,68,False
Ball Ground,2014,Multi-family,0,False
Ball Ground,2014,Single-family,26,False
Ball Ground,2015,Multi-family,0,False
Ball Ground,2015,Single-family,74,False
Ball Ground,2016,Multi-family,0,False
Ball Ground,2016,Single-family,54,False
Ball Ground,2017,Multi-family,0,False
Ball Ground,2017,Single-family,30,False
Ball Ground,2018,Multi-family,0,False
Ball Ground,2018,Single-family,19,False
Ball Ground,2019,Multi-family,0,False
Ball Ground,2019,Single-family,42,False
Ball Ground,2020,Multi-family,0,False
Ball Ground,2020,Single-family,67,False
Ball Ground,2021,Multi-family,4,False
Ball Ground,2021,Single-family,68,False
Ball Ground,2022,Multi-family,0,False
Ball Ground,2022,Single-family,92,False
Ball Ground,2023,Multi-family,0,False
Ball Ground,2023,Single-family,106,False
Ball Ground,2024,Multi-family,0,False
Ball Ground,2024,Single-family,77,False
Ball Ground,2025,Multi-family,0,True
Ball Ground,2025,Single-family,67,True
Ball Ground,2026,Multi-family,0,True
Ball Ground,2026,Single-family,2,True
Berkeley Lake,1980,Multi-family,0,False
Berkeley Lake,1980,Single-family,0,False
Berkeley Lake,1981,Multi-family,0,False
Berkeley Lake,1981,Single-family,0,False
Berkeley Lake,1982,Multi-family,0,False
Berkeley Lake,1982,Single-family,0,False
Berkeley Lake,1983,Multi-family,0,False
Berkeley Lake,1983,Single-family,0,False
Berkeley Lake,1984,Multi-family,0,False
Berkeley Lake,1984,Single-family,0,False
Berkeley Lake,1985,Multi-family,0,False
Berkeley Lake,1985,Single-family,0,False
Berkeley Lake,1986,Multi-family,0,False
Berkeley Lake,1986,Single-family,0,False
Berkeley Lake,1987,Multi-family,0,False
Berkeley Lake,1987,Single-family,0,False
Berkeley Lake,1988,Multi-family,0,False
Berkeley Lake,1988,Single-family,0,False
Berkeley Lake,1989,Multi-family,0,False
Berkeley Lake,1989,Single-family,0,False
Berkeley Lake,1990,Multi-family,0,False
Berkeley Lake,1990,Single-family,0,False
Berkeley Lake,1991,Multi-family,0,False
Berkeley Lake,1991,Single-family,0,False
Berkeley Lake,1992,Multi-family,0,False
Berkeley Lake,1992,Single-family,0,False
Berkeley Lake,1993,Multi-family,0,False
Berkeley Lake,1993,Single-family,0,False
Berkeley Lake,1994,Multi-family,0,False
Berkeley Lake,1994,Single-family,0,False
Berkeley Lake,1995,Multi-family,0,False
