city,month_year,date,Series,Permits
Canton,Apr 2023,2023-04-01,Single-Family,33.0
Canton,May 2023,2023-05-01,Multi-Family,6.0
Canton,May 2023,2023-05-01,Single-Family,92.0
Canton,Jun 2023,2023-06-01,Multi-Family,2.0
Canton,Jun 2023,2023-06-01,Single-Family,66.0
Canton,Jul 2023,2023-07-01,Multi-Family,0.0
Canton,Jul 2023,2023-07-01,Single-Family,30.0
Canton,Aug 2023,2023-08-01,Multi-Family,2.0
Canton,Aug 2023,2023-08-01,Single-Family,45.0
Canton,Sep 2023,2023-09-01,Multi-Family,0.0
Canton,Sep 2023,2023-09-01,Single-Family,40.0
Canton,Oct 2023,2023-10-01,Multi-Family,2.0
Canton,Oct 2023,2023-10-01,Single-Family,31.0
Canton,Nov 2023,2023-11-01,Multi-Family,2.0
Canton,Nov 2023,2023-11-01,Single-Family,18.0
Canton,Dec 2023,2023-12-01,Multi-Family,0.0
Canton,Dec 2023,2023-12-01,Single-Family,34.0
Canton,Jan 2024,2024-01-01,Multi-Family,0.0
Canton,Jan 2024,2024-01-01,Single-Family,39.0
Canton,Feb 2024,2024-02-01,Multi-Family,0.0
Canton,Feb 2024,2024-02-01,Single-Family,33.0
Canton,Mar 2024,2024-03-01,Multi-Family,0.0
Canton,Mar 2024,2024-03-01,Single-Family,23.0
Canton,Apr 2024,2024-04-01,Multi-Family,348.0
Canton,Apr 2024,2024-04-01,Single-Family,31.0
Canton,May 2024,2024-05-01,Multi-Family,200.0
Canton,May 2024,2024-05-01,Single-Family,49.0
Canton,Jun 2024,2024-06-01,Multi-Family,2.0
Canton,Jun 2024,2024-06-01,Single-Family,30.0
Canton,Jul 2024,2024-07-01,Multi-Family,0.0
Canton,Jul 2024,2024-07-01,Single-Family,17.0
Canton,Aug 2024,2024-08-01,Multi-Family,308.0
Canton,Aug 2024,2024-08-01,Single-Family,12.0
Canton,Sep 2024,2024-09-01,Multi-Family,0.0
Canton,Sep 2024,2024-09-01,Single-Family,8.0
Chamblee,Apr 2023,2023-04-01,Multi-Family,0.0
Chamblee,Apr 2023,2023-04-01,Single-Family,3.0
Chamblee,May 2023,2023-05-01,Multi-Family,0.0
Chamblee,May 2023,2023-05-01,Single-Family,3.0
Chamblee,Jun 2023,2023-06-01,Multi-Family,0.0
Chamblee,Jun 2023,2023-06-01,Single-Family,1.0
Chamblee,Jul 2023,2023-07-01,Multi-Family,184.0
Chamblee,Jul 2023,2023-07-01,Single-Family,1.0
Chamblee,Aug 2023,2023-08-01,Multi-Family,0.0
Chamblee,Aug 2023,2023-08-01,Single-Family,2.0
Chamblee,Sep 2023,2023-09-01,Multi-Family,0.0
Chamblee,Sep 2023,2023-09-01,Single-Family,1.0
Chamblee,Oct 2023,2023-10-01,Multi-Family,0.0
Chamblee,Oct 2023,2023-10-01,Single-Family,1.0
Chamblee,Nov 2023,2023-11-01,Multi-Family,0.0
Chamblee,Nov 2023,2023-11-01,Single-Family,0.0
Chamblee,Dec 2023,2023-12-01,Multi-Family,0.0
Chamblee,Dec 2023,2023-12-01,Single-Family,0.0
Chamblee,Jan 2024,2024-01-01,Multi-Family,0.0
Chamblee,Jan 2024,2024-01-01,Single-Family,2.0
Chamblee,Feb 2024,2024-02-01,Multi-Family,0.0
Chamblee,Feb 2024,2024-02-01,Single-Family,0.0
Chamblee,Mar 2024,2024-03-01,Multi-Family,0.0
Chamblee,Mar 2024,2024-03-01,Single-Family,0.0
Chamblee,Apr 2024,2024-04-01,Multi-Family,0.0
Chamblee,Apr 2024,2024-04-01,Single-Family,3.0
Chamblee,May 2024,2024-05-01,Multi-Family,0.0
Chamblee,May 2024,2024-05-01,Single-Family,0.0
Chamblee,Jun 2024,2024-06-01,Multi-Family,0.0
Chamblee,Jun 2024,2024-06-01,Single-Family,2.0
Chamblee,Jul 2024,2024-07-01,Multi-Family,0.0
Chamblee,Jul 2024,2024-07-01,Single-Family,1.0
Chamblee,Aug 2024,2024-08-01,Multi-Family,0.0
Chamblee,Aug 2024,2024-08-01,Single-Family,1.0
Chamblee,Sep 2024,2024-09-01,Multi-Family,0.0
Chamblee,Sep 2024,2024-09-01,Single-Family,3.0
Chattahoochee Hills,Apr 2023,2023-04-01,Multi-Family,0.0
Chattahoochee Hills,Apr 2023,2023-04-01,Single-Family,3.0
Chattahoochee Hills,May 2023,2023-05-01,Multi-Family,0.0
Chattahoochee Hills,May 2023,2023-05-01,Single-Family,7.0
Chattahoochee Hills,Jun 2023,2023-06-01,Multi-Family,0.0
Chattahoochee Hills,Jun 2023,2023-06-01,Single-Family,2.0
Chattahoochee Hills,Jul 2023,2023-07-01,Multi-Family,0.0
Chattahoochee Hills,Jul 2023,2023-07-01,Single-Family,15.0
Chattahoochee Hills,Aug 2023,2023-08-01,Multi-Family,0.0
Chattahoochee Hills,Aug 2023,2023-08-01,Single-Family,4.0
Chattahoochee Hills,Sep 2023,2023-09-01,Multi-Family,0.0
