county_name,date,month_year,year,Series,Permits
Forsyth,2023-03-01,Mar 2023,2023,Single-Family,128.0
Forsyth,2023-03-01,Mar 2023,2023,Multi-Family,0.0
Forsyth,2023-04-01,Apr 2023,2023,Single-Family,86.0
Forsyth,2023-04-01,Apr 2023,2023,Multi-Family,0.0
Forsyth,2023-05-01,May 2023,2023,Single-Family,88.0
Forsyth,2023-05-01,May 2023,2023,Multi-Family,19.0
Forsyth,2023-06-01,Jun 2023,2023,Single-Family,96.0
Forsyth,2023-06-01,Jun 2023,2023,Multi-Family,56.0
Forsyth,2023-07-01,Jul 2023,2023,Single-Family,95.0
Forsyth,2023-07-01,Jul 2023,2023,Multi-Family,0.0
Forsyth,2023-08-01,Aug 2023,2023,Single-Family,82.0
Forsyth,2023-08-01,Aug 2023,2023,Multi-Family,119.0
Forsyth,2023-09-01,Sep 2023,2023,Single-Family,89.0
Forsyth,2023-09-01,Sep 2023,2023,Multi-Family,36.0
Forsyth,2023-10-01,Oct 2023,2023,Single-Family,107.0
Forsyth,2023-10-01,Oct 2023,2023,Multi-Family,4.0
Forsyth,2023-11-01,Nov 2023,2023,Single-Family,81.0
Forsyth,2023-11-01,Nov 2023,2023,Multi-Family,4.0
Forsyth,2023-12-01,Dec 2023,2023,Single-Family,89.0
Forsyth,2023-12-01,Dec 2023,2023,Multi-Family,12.0
Forsyth,2024-01-01,Jan 2024,2024,Single-Family,135.0
Forsyth,2024-01-01,Jan 2024,2024,Multi-Family,14.0
Forsyth,2024-02-01,Feb 2024,2024,Single-Family,150.0
Forsyth,2024-02-01,Feb 2024,2024,Multi-Family,29.0
Forsyth,2024-03-01,Mar 2024,2024,Single-Family,140.0
Forsyth,2024-03-01,Mar 2024,2024,Multi-Family,267.0
Forsyth,2024-04-01,Apr 2024,2024,Single-Family,159.0
Forsyth,2024-04-01,Apr 2024,2024,Multi-Family,0.0
Forsyth,2024-05-01,May 2024,2024,Single-Family,131.0
Forsyth,2024-05-01,May 2024,2024,Multi-Family,20.0
