Year,Level,Name,FIPS,SF_permits,SF_value,MF_permits,MF_value,2U_permits,2U_value,3-4U_permits,3-4U_value,5+U_permits,5+U_value
2024,County,Catoosa,13047,485,76145433,363,36619881,40,4840000,67,6512241,256,25267640
2025,County,Catoosa,13047,339,54123396,207,20698198,12,1488888,60,5785672,135,13423638
2024,City/Other,Catoosa County,13047133000,430,63618013,319,31869881,18,2090000,67,6512241,234,23267640
2025,City/Other,Catoosa County,13047133000,339,54123396,207,20698198,12,1488888,60,5785672,135,13423638
2024,City/Other,Cecil,13075135000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Cecil,13075135000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Cedartown,13233136000,7,1400000,17,2000000,0,0,0,0,17,2000000
2025,City/Other,Cedartown,13233136000,12,2750000,96,17500000,0,0,0,0,96,17500000
2024,City/Other,Centerville,13153137000,219,39872749,5,723800,2,248800,3,475000,0,0
2025,City/Other,Centerville,13153137000,89,13078543,0,0,0,0,0,0,0,0
2024,City/Other,Centralhatchee,13149138000,6,1725530,0,0,0,0,0,0,0,0
2025,City/Other,Centralhatchee,13149138000,1,296017,0,0,0,0,0,0,0,0
2024,City/Other,Chamblee,13089139000,20,11267341,0,0,0,0,0,0,0,0
2025,City/Other,Chamblee,13089139000,34,22308894,367,70728422,0,0,0,0,367,70728422
2024,County,Charlton,13049,45,14132291,6,1198241,2,425109,4,773132,0,0
2025,County,Charlton,13049,41,12176583,0,0,0,0,0,0,0,0
2024,City/Other,Charlton County Unincorporated Area,13049140000,41,12921729,6,1198241,2,425109,4,773132,0,0
2025,City/Other,Charlton County Unincorporated Area,13049140000,37,10991763,0,0,0,0,0,0,0,0
2024,County,Chatham,13051,1704,371124182,987,99081003,14,1327062,0,0,973,97753941
2025,County,Chatham,13051,2666,691927150,1760,210179419,16,1689284,16,4840896,1728,203649239
2024,City/Other,Chatham County Unincorporated Area,13051141000,65,32367794,0,0,0,0,0,0,0,0
2025,City/Other,Chatham County Unincorporated Area,13051141000,129,44930733,455,58479575,0,0,0,0,455,58479575
2024,City/Other,Chatsworth,13213143000,18,5176590,17,2469686,0,0,12,1752106,5,717580
2025,City/Other,Chatsworth,13213143000,19,5464178,9,1301615,0,0,4,584035,5,717580
2024,County,Chattahoochee,13053,1,408945,0,0,0,0,0,0,0,0
2025,County,Chattahoochee,13053,3,875000,0,0,0,0,0,0,0,0
2024,City/Other,Chattahoochee Hills,13121144900,64,35871048,0,0,0,0,0,0,0,0
2025,City/Other,Chattahoochee Hills,13121144900,40,29968400,0,0,0,0,0,0,0,0
